parcel_id,ai_review_score,investment_category,manual_review_flag_ai,recommendation_ai,reasoning_summary_ai,key_risks_ai,missing_information,next_due_diligence_step_ai,confidence_level,model_used
40850-02-12-06130,6.7,Strong Manual Review Candidate,True,Drive By,AI review failed; fallback rule-based score used.,Weak or unverified surrounding value signal,Missing LiteLLM environment variables,Drive by and verify assessor/parcel details,Low,Rule-based only
34300-03-32-15230,6.7,Strong Manual Review Candidate,True,Drive By,AI review failed; fallback rule-based score used.,Weak or unverified surrounding value signal,Missing LiteLLM environment variables,Drive by and verify assessor/parcel details,Low,Rule-based only
29675-03-07-09890,6.7,Strong Manual Review Candidate,True,Drive By,AI review failed; fallback rule-based score used.,Weak or unverified surrounding value signal,Missing LiteLLM environment variables,Drive by and verify assessor/parcel details,Low,Rule-based only
16250-92-05-01100,6.7,Strong Manual Review Candidate,True,Drive By,AI review failed; fallback rule-based score used.,Weak or unverified surrounding value signal,Missing LiteLLM environment variables,Drive by and verify assessor/parcel details,Low,Rule-based only
41025-02-01-06220,6.7,Strong Manual Review Candidate,True,Drive By,AI review failed; fallback rule-based score used.,Weak or unverified surrounding value signal,Missing LiteLLM environment variables,Drive by and verify assessor/parcel details,Low,Rule-based only
41025-02-01-01230,6.7,Strong Manual Review Candidate,True,Drive By,AI review failed; fallback rule-based score used.,Weak or unverified surrounding value signal,Missing LiteLLM environment variables,Drive by and verify assessor/parcel details,Low,Rule-based only
34300-03-32-14790,6.7,Strong Manual Review Candidate,True,Drive By,AI review failed; fallback rule-based score used.,Weak or unverified surrounding value signal,Missing LiteLLM environment variables,Drive by and verify assessor/parcel details,Low,Rule-based only
26725-02-25-17680,6.7,Strong Manual Review Candidate,True,Drive By,AI review failed; fallback rule-based score used.,Weak or unverified surrounding value signal,Missing LiteLLM environment variables,Drive by and verify assessor/parcel details,Low,Rule-based only
29775-02-26-04910,6.7,Strong Manual Review Candidate,True,Drive By,AI review failed; fallback rule-based score used.,Weak or unverified surrounding value signal,Missing LiteLLM environment variables,Drive by and verify assessor/parcel details,Low,Rule-based only
41025-02-01-04500,6.7,Strong Manual Review Candidate,True,Drive By,AI review failed; fallback rule-based score used.,Weak or unverified surrounding value signal,Missing LiteLLM environment variables,Drive by and verify assessor/parcel details,Low,Rule-based only
44200-02-11-04390,6.7,Strong Manual Review Candidate,True,Drive By,AI review failed; fallback rule-based score used.,Weak or unverified surrounding value signal,Missing LiteLLM environment variables,Drive by and verify assessor/parcel details,Low,Rule-based only
44200-02-11-05670,6.7,Strong Manual Review Candidate,True,Drive By,AI review failed; fallback rule-based score used.,Weak or unverified surrounding value signal,Missing LiteLLM environment variables,Drive by and verify assessor/parcel details,Low,Rule-based only
47700-02-26-09610,6.7,Strong Manual Review Candidate,True,Drive By,AI review failed; fallback rule-based score used.,Weak or unverified surrounding value signal,Missing LiteLLM environment variables,Drive by and verify assessor/parcel details,Low,Rule-based only
13800-02-12-02160,6.7,Strong Manual Review Candidate,True,Drive By,AI review failed; fallback rule-based score used.,Weak or unverified surrounding value signal,Missing LiteLLM environment variables,Drive by and verify assessor/parcel details,Low,Rule-based only
36090-03-08-00970,6.7,Strong Manual Review Candidate,True,Drive By,AI review failed; fallback rule-based score used.,Weak or unverified surrounding value signal,Missing LiteLLM environment variables,Drive by and verify assessor/parcel details,Low,Rule-based only
05450-02-25-27030,6.7,Strong Manual Review Candidate,True,Drive By,AI review failed; fallback rule-based score used.,Weak or unverified surrounding value signal,Missing LiteLLM environment variables,Drive by and verify assessor/parcel details,Low,Rule-based only
34750-02-26-08160,6.7,Strong Manual Review Candidate,True,Drive By,AI review failed; fallback rule-based score used.,Weak or unverified surrounding value signal,Missing LiteLLM environment variables,Drive by and verify assessor/parcel details,Low,Rule-based only
19725-03-30-11560,6.7,Strong Manual Review Candidate,True,Drive By,AI review failed; fallback rule-based score used.,Weak or unverified surrounding value signal,Missing LiteLLM environment variables,Drive by and verify assessor/parcel details,Low,Rule-based only
78810-84-11-09860,6.7,Strong Manual Review Candidate,True,Drive By,AI review failed; fallback rule-based score used.,Weak or unverified surrounding value signal,Missing LiteLLM environment variables,Drive by and verify assessor/parcel details,Low,Rule-based only
40825-02-13-08350,6.7,Strong Manual Review Candidate,True,Drive By,AI review failed; fallback rule-based score used.,Weak or unverified surrounding value signal,Missing LiteLLM environment variables,Drive by and verify assessor/parcel details,Low,Rule-based only
23175-03-30-13610,6.7,Strong Manual Review Candidate,True,Drive By,AI review failed; fallback rule-based score used.,Weak or unverified surrounding value signal,Missing LiteLLM environment variables,Drive by and verify assessor/parcel details,Low,Rule-based only
44200-02-11-03560,6.7,Strong Manual Review Candidate,True,Drive By,AI review failed; fallback rule-based score used.,Weak or unverified surrounding value signal,Missing LiteLLM environment variables,Drive by and verify assessor/parcel details,Low,Rule-based only
25500-03-29-06000,6.7,Strong Manual Review Candidate,True,Drive By,AI review failed; fallback rule-based score used.,Weak or unverified surrounding value signal,Missing LiteLLM environment variables,Drive by and verify assessor/parcel details,Low,Rule-based only
41025-02-01-04490,6.7,Strong Manual Review Candidate,True,Drive By,AI review failed; fallback rule-based score used.,Weak or unverified surrounding value signal,Missing LiteLLM environment variables,Drive by and verify assessor/parcel details,Low,Rule-based only
53775-02-02-00220,6.7,Strong Manual Review Candidate,True,Drive By,AI review failed; fallback rule-based score used.,Weak or unverified surrounding value signal,Missing LiteLLM environment variables,Drive by and verify assessor/parcel details,Low,Rule-based only
23125-02-25-15350,6.7,Strong Manual Review Candidate,True,Drive By,AI review failed; fallback rule-based score used.,Weak or unverified surrounding value signal,Missing LiteLLM environment variables,Drive by and verify assessor/parcel details,Low,Rule-based only
40800-02-13-04700,6.7,Strong Manual Review Candidate,True,Drive By,AI review failed; fallback rule-based score used.,Weak or unverified surrounding value signal,Missing LiteLLM environment variables,Drive by and verify assessor/parcel details,Low,Rule-based only
44200-02-11-01790,6.7,Strong Manual Review Candidate,True,Drive By,AI review failed; fallback rule-based score used.,Weak or unverified surrounding value signal,Missing LiteLLM environment variables,Drive by and verify assessor/parcel details,Low,Rule-based only
44200-02-11-01470,6.7,Strong Manual Review Candidate,True,Drive By,AI review failed; fallback rule-based score used.,Weak or unverified surrounding value signal,Missing LiteLLM environment variables,Drive by and verify assessor/parcel details,Low,Rule-based only
16050-93-06-08050,6.7,Strong Manual Review Candidate,True,Drive By,AI review failed; fallback rule-based score used.,Weak or unverified surrounding value signal,Missing LiteLLM environment variables,Drive by and verify assessor/parcel details,Low,Rule-based only
09725-03-30-08040,6.7,Strong Manual Review Candidate,True,Drive By,AI review failed; fallback rule-based score used.,Weak or unverified surrounding value signal,Missing LiteLLM environment variables,Drive by and verify assessor/parcel details,Low,Rule-based only
37375-03-32-16320,6.7,Strong Manual Review Candidate,True,Drive By,AI review failed; fallback rule-based score used.,Weak or unverified surrounding value signal,Missing LiteLLM environment variables,Drive by and verify assessor/parcel details,Low,Rule-based only
44200-02-14-06630,6.7,Strong Manual Review Candidate,True,Drive By,AI review failed; fallback rule-based score used.,Weak or unverified surrounding value signal,Missing LiteLLM environment variables,Drive by and verify assessor/parcel details,Low,Rule-based only
44650-92-04-13070,6.7,Strong Manual Review Candidate,True,Drive By,AI review failed; fallback rule-based score used.,Weak or unverified surrounding value signal,Missing LiteLLM environment variables,Drive by and verify assessor/parcel details,Low,Rule-based only
44250-02-12-14920,6.7,Strong Manual Review Candidate,True,Drive By,AI review failed; fallback rule-based score used.,Weak or unverified surrounding value signal,Missing LiteLLM environment variables,Drive by and verify assessor/parcel details,Low,Rule-based only
44200-02-11-03530,6.7,Strong Manual Review Candidate,True,Drive By,AI review failed; fallback rule-based score used.,Weak or unverified surrounding value signal,Missing LiteLLM environment variables,Drive by and verify assessor/parcel details,Low,Rule-based only
44225-02-12-09330,6.7,Strong Manual Review Candidate,True,Drive By,AI review failed; fallback rule-based score used.,Weak or unverified surrounding value signal,Missing LiteLLM environment variables,Drive by and verify assessor/parcel details,Low,Rule-based only
52550-92-33-05285,6.7,Strong Manual Review Candidate,True,Drive By,AI review failed; fallback rule-based score used.,"Weak or unverified surrounding value signal; Could be lot-only or unimproved, verify improvements",Missing LiteLLM environment variables,Drive by and verify assessor/parcel details,Low,Rule-based only
07725-02-13-02930,6.7,Strong Manual Review Candidate,True,Drive By,AI review failed; fallback rule-based score used.,Weak or unverified surrounding value signal,Missing LiteLLM environment variables,Drive by and verify assessor/parcel details,Low,Rule-based only
79200-84-14-04250,6.7,Strong Manual Review Candidate,True,Drive By,AI review failed; fallback rule-based score used.,Weak or unverified surrounding value signal,Missing LiteLLM environment variables,Drive by and verify assessor/parcel details,Low,Rule-based only
07675-02-13-01140,6.7,Strong Manual Review Candidate,True,Drive By,AI review failed; fallback rule-based score used.,Weak or unverified surrounding value signal,Missing LiteLLM environment variables,Drive by and verify assessor/parcel details,Low,Rule-based only
49650-03-34-13420,6.7,Strong Manual Review Candidate,True,Drive By,AI review failed; fallback rule-based score used.,Weak or unverified surrounding value signal,Missing LiteLLM environment variables,Drive by and verify assessor/parcel details,Low,Rule-based only
41025-02-01-06510,6.7,Strong Manual Review Candidate,True,Drive By,AI review failed; fallback rule-based score used.,Weak or unverified surrounding value signal,Missing LiteLLM environment variables,Drive by and verify assessor/parcel details,Low,Rule-based only
15500-03-32-04800,6.7,Strong Manual Review Candidate,True,Drive By,AI review failed; fallback rule-based score used.,Weak or unverified surrounding value signal,Missing LiteLLM environment variables,Drive by and verify assessor/parcel details,Low,Rule-based only
05825-03-30-01260,6.7,Strong Manual Review Candidate,True,Drive By,AI review failed; fallback rule-based score used.,Weak or unverified surrounding value signal,Missing LiteLLM environment variables,Drive by and verify assessor/parcel details,Low,Rule-based only
37650-02-12-04530,6.7,Strong Manual Review Candidate,True,Drive By,AI review failed; fallback rule-based score used.,Weak or unverified surrounding value signal,Missing LiteLLM environment variables,Drive by and verify assessor/parcel details,Low,Rule-based only
49700-03-34-14030,6.7,Strong Manual Review Candidate,True,Drive By,AI review failed; fallback rule-based score used.,Weak or unverified surrounding value signal,Missing LiteLLM environment variables,Drive by and verify assessor/parcel details,Low,Rule-based only
32325-92-24-04910,6.7,Strong Manual Review Candidate,True,Drive By,AI review failed; fallback rule-based score used.,Weak or unverified surrounding value signal,Missing LiteLLM environment variables,Drive by and verify assessor/parcel details,Low,Rule-based only
44200-02-11-01060,6.7,Strong Manual Review Candidate,True,Drive By,AI review failed; fallback rule-based score used.,Weak or unverified surrounding value signal,Missing LiteLLM environment variables,Drive by and verify assessor/parcel details,Low,Rule-based only
17675-02-24-07570,6.7,Strong Manual Review Candidate,True,Drive By,AI review failed; fallback rule-based score used.,Weak or unverified surrounding value signal,Missing LiteLLM environment variables,Drive by and verify assessor/parcel details,Low,Rule-based only
25500-03-29-06060,6.7,Strong Manual Review Candidate,True,Drive By,AI review failed; fallback rule-based score used.,Weak or unverified surrounding value signal,Missing LiteLLM environment variables,Drive by and verify assessor/parcel details,Low,Rule-based only
17675-02-24-08030,6.7,Strong Manual Review Candidate,True,Drive By,AI review failed; fallback rule-based score used.,Weak or unverified surrounding value signal,Missing LiteLLM environment variables,Drive by and verify assessor/parcel details,Low,Rule-based only
44200-02-11-03380,6.7,Strong Manual Review Candidate,True,Drive By,AI review failed; fallback rule-based score used.,Weak or unverified surrounding value signal,Missing LiteLLM environment variables,Drive by and verify assessor/parcel details,Low,Rule-based only
25375-03-29-05240,6.7,Strong Manual Review Candidate,True,Drive By,AI review failed; fallback rule-based score used.,Weak or unverified surrounding value signal,Missing LiteLLM environment variables,Drive by and verify assessor/parcel details,Low,Rule-based only
44250-02-12-15190,6.7,Strong Manual Review Candidate,True,Drive By,AI review failed; fallback rule-based score used.,Weak or unverified surrounding value signal,Missing LiteLLM environment variables,Drive by and verify assessor/parcel details,Low,Rule-based only
29650-03-07-03460,6.7,Strong Manual Review Candidate,True,Drive By,AI review failed; fallback rule-based score used.,Weak or unverified surrounding value signal,Missing LiteLLM environment variables,Drive by and verify assessor/parcel details,Low,Rule-based only
53825-02-02-01310,6.7,Strong Manual Review Candidate,True,Drive By,AI review failed; fallback rule-based score used.,Weak or unverified surrounding value signal,Missing LiteLLM environment variables,Drive by and verify assessor/parcel details,Low,Rule-based only
46465-92-11-31880,6.7,Strong Manual Review Candidate,True,Drive By,AI review failed; fallback rule-based score used.,Weak or unverified surrounding value signal,Missing LiteLLM environment variables,Drive by and verify assessor/parcel details,Low,Rule-based only
12175-92-03-02290,6.7,Strong Manual Review Candidate,True,Drive By,AI review failed; fallback rule-based score used.,Weak or unverified surrounding value signal,Missing LiteLLM environment variables,Drive by and verify assessor/parcel details,Low,Rule-based only
07675-02-13-01590,6.7,Strong Manual Review Candidate,True,Drive By,AI review failed; fallback rule-based score used.,Weak or unverified surrounding value signal,Missing LiteLLM environment variables,Drive by and verify assessor/parcel details,Low,Rule-based only
04550-03-32-02430,6.7,Strong Manual Review Candidate,True,Drive By,AI review failed; fallback rule-based score used.,Weak or unverified surrounding value signal,Missing LiteLLM environment variables,Drive by and verify assessor/parcel details,Low,Rule-based only
26250-92-05-02570,6.7,Strong Manual Review Candidate,True,Drive By,AI review failed; fallback rule-based score used.,Weak or unverified surrounding value signal,Missing LiteLLM environment variables,Drive by and verify assessor/parcel details,Low,Rule-based only
44225-02-12-10920,6.7,Strong Manual Review Candidate,True,Drive By,AI review failed; fallback rule-based score used.,Weak or unverified surrounding value signal,Missing LiteLLM environment variables,Drive by and verify assessor/parcel details,Low,Rule-based only
29625-02-36-21010,6.7,Strong Manual Review Candidate,True,Drive By,AI review failed; fallback rule-based score used.,Weak or unverified surrounding value signal,Missing LiteLLM environment variables,Drive by and verify assessor/parcel details,Low,Rule-based only
10450-03-19-50550,6.7,Strong Manual Review Candidate,True,Drive By,AI review failed; fallback rule-based score used.,Weak or unverified surrounding value signal,Missing LiteLLM environment variables,Drive by and verify assessor/parcel details,Low,Rule-based only
28025-93-11-08980,6.7,Strong Manual Review Candidate,True,Drive By,AI review failed; fallback rule-based score used.,Weak or unverified surrounding value signal,Missing LiteLLM environment variables,Drive by and verify assessor/parcel details,Low,Rule-based only
37650-02-12-04250,6.7,Strong Manual Review Candidate,True,Drive By,AI review failed; fallback rule-based score used.,Weak or unverified surrounding value signal,Missing LiteLLM environment variables,Drive by and verify assessor/parcel details,Low,Rule-based only
40825-02-13-08480,6.7,Strong Manual Review Candidate,True,Drive By,AI review failed; fallback rule-based score used.,Weak or unverified surrounding value signal,Missing LiteLLM environment variables,Drive by and verify assessor/parcel details,Low,Rule-based only
18650-93-06-12970,6.7,Strong Manual Review Candidate,True,Drive By,AI review failed; fallback rule-based score used.,Weak or unverified surrounding value signal,Missing LiteLLM environment variables,Drive by and verify assessor/parcel details,Low,Rule-based only
28475-03-33-14410,6.7,Strong Manual Review Candidate,True,Drive By,AI review failed; fallback rule-based score used.,Weak or unverified surrounding value signal,Missing LiteLLM environment variables,Drive by and verify assessor/parcel details,Low,Rule-based only
29675-03-07-09230,6.7,Strong Manual Review Candidate,True,Drive By,AI review failed; fallback rule-based score used.,Weak or unverified surrounding value signal,Missing LiteLLM environment variables,Drive by and verify assessor/parcel details,Low,Rule-based only
90330-03-30-22140,6.7,Strong Manual Review Candidate,True,Drive By,AI review failed; fallback rule-based score used.,Weak or unverified surrounding value signal,Missing LiteLLM environment variables,Drive by and verify assessor/parcel details,Low,Rule-based only
90201-02-01-25920,6.7,Strong Manual Review Candidate,True,Drive By,AI review failed; fallback rule-based score used.,Weak or unverified surrounding value signal,Missing LiteLLM environment variables,Drive by and verify assessor/parcel details,Low,Rule-based only
44200-02-11-03600,6.7,Strong Manual Review Candidate,True,Drive By,AI review failed; fallback rule-based score used.,Weak or unverified surrounding value signal,Missing LiteLLM environment variables,Drive by and verify assessor/parcel details,Low,Rule-based only
08450-03-29-03260,6.7,Strong Manual Review Candidate,True,Drive By,AI review failed; fallback rule-based score used.,Weak or unverified surrounding value signal,Missing LiteLLM environment variables,Drive by and verify assessor/parcel details,Low,Rule-based only
19725-03-30-11590,6.7,Strong Manual Review Candidate,True,Drive By,AI review failed; fallback rule-based score used.,Weak or unverified surrounding value signal,Missing LiteLLM environment variables,Drive by and verify assessor/parcel details,Low,Rule-based only
38575-03-28-12560,6.7,Strong Manual Review Candidate,True,Drive By,AI review failed; fallback rule-based score used.,Weak or unverified surrounding value signal,Missing LiteLLM environment variables,Drive by and verify assessor/parcel details,Low,Rule-based only
07675-02-13-01610,6.7,Strong Manual Review Candidate,True,Drive By,AI review failed; fallback rule-based score used.,Weak or unverified surrounding value signal,Missing LiteLLM environment variables,Drive by and verify assessor/parcel details,Low,Rule-based only
44200-02-11-02340,6.7,Strong Manual Review Candidate,True,Drive By,AI review failed; fallback rule-based score used.,Weak or unverified surrounding value signal,Missing LiteLLM environment variables,Drive by and verify assessor/parcel details,Low,Rule-based only
27550-93-08-18710,6.7,Strong Manual Review Candidate,True,Drive By,AI review failed; fallback rule-based score used.,Weak or unverified surrounding value signal,Missing LiteLLM environment variables,Drive by and verify assessor/parcel details,Low,Rule-based only
07600-02-24-00740,6.7,Strong Manual Review Candidate,True,Drive By,AI review failed; fallback rule-based score used.,Weak or unverified surrounding value signal,Missing LiteLLM environment variables,Drive by and verify assessor/parcel details,Low,Rule-based only
30125-03-28-10360,6.7,Strong Manual Review Candidate,True,Drive By,AI review failed; fallback rule-based score used.,Weak or unverified surrounding value signal,Missing LiteLLM environment variables,Drive by and verify assessor/parcel details,Low,Rule-based only
44200-02-11-02050,6.7,Strong Manual Review Candidate,True,Drive By,AI review failed; fallback rule-based score used.,Weak or unverified surrounding value signal,Missing LiteLLM environment variables,Drive by and verify assessor/parcel details,Low,Rule-based only
13200-02-26-00860,6.7,Strong Manual Review Candidate,True,Drive By,AI review failed; fallback rule-based score used.,Weak or unverified surrounding value signal,Missing LiteLLM environment variables,Drive by and verify assessor/parcel details,Low,Rule-based only
01800-03-35-01450,6.7,Strong Manual Review Candidate,True,Drive By,AI review failed; fallback rule-based score used.,Weak or unverified surrounding value signal,Missing LiteLLM environment variables,Drive by and verify assessor/parcel details,Low,Rule-based only
61475-91-11-02110,6.7,Strong Manual Review Candidate,True,Drive By,AI review failed; fallback rule-based score used.,Weak or unverified surrounding value signal,Missing LiteLLM environment variables,Drive by and verify assessor/parcel details,Low,Rule-based only
29650-03-07-06110,6.7,Strong Manual Review Candidate,True,Drive By,AI review failed; fallback rule-based score used.,Weak or unverified surrounding value signal,Missing LiteLLM environment variables,Drive by and verify assessor/parcel details,Low,Rule-based only
40850-02-12-06950,6.7,Strong Manual Review Candidate,True,Drive By,AI review failed; fallback rule-based score used.,Weak or unverified surrounding value signal,Missing LiteLLM environment variables,Drive by and verify assessor/parcel details,Low,Rule-based only
38605-92-05-04540,6.7,Strong Manual Review Candidate,True,Drive By,AI review failed; fallback rule-based score used.,Weak or unverified surrounding value signal,Missing LiteLLM environment variables,Drive by and verify assessor/parcel details,Low,Rule-based only
24200-03-28-06670,6.7,Strong Manual Review Candidate,True,Drive By,AI review failed; fallback rule-based score used.,Weak or unverified surrounding value signal,Missing LiteLLM environment variables,Drive by and verify assessor/parcel details,Low,Rule-based only
28975-03-28-09640,6.7,Strong Manual Review Candidate,True,Drive By,AI review failed; fallback rule-based score used.,Weak or unverified surrounding value signal,Missing LiteLLM environment variables,Drive by and verify assessor/parcel details,Low,Rule-based only
07675-02-13-01570,6.7,Strong Manual Review Candidate,True,Drive By,AI review failed; fallback rule-based score used.,Weak or unverified surrounding value signal,Missing LiteLLM environment variables,Drive by and verify assessor/parcel details,Low,Rule-based only
22025-03-35-07520,6.7,Strong Manual Review Candidate,True,Drive By,AI review failed; fallback rule-based score used.,Weak or unverified surrounding value signal,Missing LiteLLM environment variables,Drive by and verify assessor/parcel details,Low,Rule-based only
25525-03-29-06940,6.7,Strong Manual Review Candidate,True,Drive By,AI review failed; fallback rule-based score used.,Weak or unverified surrounding value signal,Missing LiteLLM environment variables,Drive by and verify assessor/parcel details,Low,Rule-based only
34750-02-26-08560,6.7,Strong Manual Review Candidate,True,Drive By,AI review failed; fallback rule-based score used.,Weak or unverified surrounding value signal,Missing LiteLLM environment variables,Drive by and verify assessor/parcel details,Low,Rule-based only
30200-02-26-07150,6.7,Strong Manual Review Candidate,True,Drive By,AI review failed; fallback rule-based score used.,Weak or unverified surrounding value signal,Missing LiteLLM environment variables,Drive by and verify assessor/parcel details,Low,Rule-based only
21600-02-35-08590,6.7,Strong Manual Review Candidate,True,Drive By,AI review failed; fallback rule-based score used.,Weak or unverified surrounding value signal,Missing LiteLLM environment variables,Drive by and verify assessor/parcel details,Low,Rule-based only
35925-03-30-16670,6.7,Strong Manual Review Candidate,True,Drive By,AI review failed; fallback rule-based score used.,Weak or unverified surrounding value signal,Missing LiteLLM environment variables,Drive by and verify assessor/parcel details,Low,Rule-based only
63700-12-13-00540,6.7,Strong Manual Review Candidate,True,Drive By,AI review failed; fallback rule-based score used.,Weak or unverified surrounding value signal,Missing LiteLLM environment variables,Drive by and verify assessor/parcel details,Low,Rule-based only
44200-02-11-01080,6.7,Strong Manual Review Candidate,True,Drive By,AI review failed; fallback rule-based score used.,Weak or unverified surrounding value signal,Missing LiteLLM environment variables,Drive by and verify assessor/parcel details,Low,Rule-based only
98224-82-24-37060,6.7,Strong Manual Review Candidate,True,Drive By,AI review failed; fallback rule-based score used.,Weak or unverified surrounding value signal,Missing LiteLLM environment variables,Drive by and verify assessor/parcel details,Low,Rule-based only
17925-92-04-03330,6.7,Strong Manual Review Candidate,True,Drive By,AI review failed; fallback rule-based score used.,Weak or unverified surrounding value signal,Missing LiteLLM environment variables,Drive by and verify assessor/parcel details,Low,Rule-based only
49600-03-17-06000,6.7,Strong Manual Review Candidate,True,Drive By,AI review failed; fallback rule-based score used.,Weak or unverified surrounding value signal,Missing LiteLLM environment variables,Drive by and verify assessor/parcel details,Low,Rule-based only
59900-24-20-00058,6.7,Strong Manual Review Candidate,True,Drive By,AI review failed; fallback rule-based score used.,Weak or unverified surrounding value signal,Missing LiteLLM environment variables,Drive by and verify assessor/parcel details,Low,Rule-based only
09175-93-05-05710,6.7,Strong Manual Review Candidate,True,Drive By,AI review failed; fallback rule-based score used.,Weak or unverified surrounding value signal,Missing LiteLLM environment variables,Drive by and verify assessor/parcel details,Low,Rule-based only
00775-02-25-00730,6.7,Strong Manual Review Candidate,True,Drive By,AI review failed; fallback rule-based score used.,Weak or unverified surrounding value signal,Missing LiteLLM environment variables,Drive by and verify assessor/parcel details,Low,Rule-based only
41950-02-24-12580,6.7,Strong Manual Review Candidate,True,Drive By,AI review failed; fallback rule-based score used.,Weak or unverified surrounding value signal,Missing LiteLLM environment variables,Drive by and verify assessor/parcel details,Low,Rule-based only
04925-03-35-02930,6.7,Strong Manual Review Candidate,True,Drive By,AI review failed; fallback rule-based score used.,Weak or unverified surrounding value signal,Missing LiteLLM environment variables,Drive by and verify assessor/parcel details,Low,Rule-based only
36075-03-08-00420,6.7,Strong Manual Review Candidate,True,Drive By,AI review failed; fallback rule-based score used.,Weak or unverified surrounding value signal,Missing LiteLLM environment variables,Drive by and verify assessor/parcel details,Low,Rule-based only
45600-94-16-00400,6.7,Strong Manual Review Candidate,True,Drive By,AI review failed; fallback rule-based score used.,Weak or unverified surrounding value signal,Missing LiteLLM environment variables,Drive by and verify assessor/parcel details,Low,Rule-based only
44325-03-36-04550,6.7,Strong Manual Review Candidate,True,Drive By,AI review failed; fallback rule-based score used.,Weak or unverified surrounding value signal,Missing LiteLLM environment variables,Drive by and verify assessor/parcel details,Low,Rule-based only
56625-92-20-01430,6.7,Strong Manual Review Candidate,True,Drive By,AI review failed; fallback rule-based score used.,Weak or unverified surrounding value signal,Missing LiteLLM environment variables,Drive by and verify assessor/parcel details,Low,Rule-based only
29650-03-07-05860,6.7,Strong Manual Review Candidate,True,Drive By,AI review failed; fallback rule-based score used.,Weak or unverified surrounding value signal,Missing LiteLLM environment variables,Drive by and verify assessor/parcel details,Low,Rule-based only
00575-93-06-01170,6.7,Strong Manual Review Candidate,True,Drive By,AI review failed; fallback rule-based score used.,Weak or unverified surrounding value signal,Missing LiteLLM environment variables,Drive by and verify assessor/parcel details,Low,Rule-based only
11000-83-06-00270,6.7,Strong Manual Review Candidate,True,Drive By,AI review failed; fallback rule-based score used.,Weak or unverified surrounding value signal,Missing LiteLLM environment variables,Drive by and verify assessor/parcel details,Low,Rule-based only
20300-92-03-05280,6.7,Strong Manual Review Candidate,True,Drive By,AI review failed; fallback rule-based score used.,Weak or unverified surrounding value signal,Missing LiteLLM environment variables,Drive by and verify assessor/parcel details,Low,Rule-based only
49800-03-34-15300,6.7,Strong Manual Review Candidate,True,Drive By,AI review failed; fallback rule-based score used.,Weak or unverified surrounding value signal,Missing LiteLLM environment variables,Drive by and verify assessor/parcel details,Low,Rule-based only
23900-03-27-09360,6.7,Strong Manual Review Candidate,True,Drive By,AI review failed; fallback rule-based score used.,Weak or unverified surrounding value signal,Missing LiteLLM environment variables,Drive by and verify assessor/parcel details,Low,Rule-based only
40325-94-17-06900,6.7,Strong Manual Review Candidate,True,Drive By,AI review failed; fallback rule-based score used.,Weak or unverified surrounding value signal,Missing LiteLLM environment variables,Drive by and verify assessor/parcel details,Low,Rule-based only
13775-02-12-01490,6.7,Strong Manual Review Candidate,True,Drive By,AI review failed; fallback rule-based score used.,Weak or unverified surrounding value signal,Missing LiteLLM environment variables,Drive by and verify assessor/parcel details,Low,Rule-based only
02350-03-35-02480,6.7,Strong Manual Review Candidate,True,Drive By,AI review failed; fallback rule-based score used.,Weak or unverified surrounding value signal,Missing LiteLLM environment variables,Drive by and verify assessor/parcel details,Low,Rule-based only
16275-92-05-01670,6.7,Strong Manual Review Candidate,True,Drive By,AI review failed; fallback rule-based score used.,Weak or unverified surrounding value signal,Missing LiteLLM environment variables,Drive by and verify assessor/parcel details,Low,Rule-based only
17675-02-24-07550,6.7,Strong Manual Review Candidate,True,Drive By,AI review failed; fallback rule-based score used.,Weak or unverified surrounding value signal,Missing LiteLLM environment variables,Drive by and verify assessor/parcel details,Low,Rule-based only
34300-03-32-14720,6.7,Strong Manual Review Candidate,True,Drive By,AI review failed; fallback rule-based score used.,Weak or unverified surrounding value signal,Missing LiteLLM environment variables,Drive by and verify assessor/parcel details,Low,Rule-based only
49725-03-34-14590,6.7,Strong Manual Review Candidate,True,Drive By,AI review failed; fallback rule-based score used.,Weak or unverified surrounding value signal,Missing LiteLLM environment variables,Drive by and verify assessor/parcel details,Low,Rule-based only
07725-02-13-02870,6.7,Strong Manual Review Candidate,True,Drive By,AI review failed; fallback rule-based score used.,Weak or unverified surrounding value signal,Missing LiteLLM environment variables,Drive by and verify assessor/parcel details,Low,Rule-based only
63125-91-11-15420,6.7,Strong Manual Review Candidate,True,Drive By,AI review failed; fallback rule-based score used.,Weak or unverified surrounding value signal,Missing LiteLLM environment variables,Drive by and verify assessor/parcel details,Low,Rule-based only
99203-92-03-14350,6.7,Strong Manual Review Candidate,True,Drive By,AI review failed; fallback rule-based score used.,Weak or unverified surrounding value signal,Missing LiteLLM environment variables,Drive by and verify assessor/parcel details,Low,Rule-based only
23125-02-25-14790,6.7,Strong Manual Review Candidate,True,Drive By,AI review failed; fallback rule-based score used.,Weak or unverified surrounding value signal,Missing LiteLLM environment variables,Drive by and verify assessor/parcel details,Low,Rule-based only
37800-93-02-09080,6.7,Strong Manual Review Candidate,True,Drive By,AI review failed; fallback rule-based score used.,Weak or unverified surrounding value signal,Missing LiteLLM environment variables,Drive by and verify assessor/parcel details,Low,Rule-based only
15125-03-33-05670,6.7,Strong Manual Review Candidate,True,Drive By,AI review failed; fallback rule-based score used.,Weak or unverified surrounding value signal,Missing LiteLLM environment variables,Drive by and verify assessor/parcel details,Low,Rule-based only
