prop_no,parcel_id,owner_name,legal_description,subdivision,address,city,zip_code,land_sqft,property_type,minimum_bid,resale_costs_fees,notes,page_number,source_notes
1,00575-93-06-00770,Unknown,LT 24 S3.4 LT 25 BLK 6,ABDO'S ADDN,405 S WHEELING AV E,CITY OF TULSA,,"3,920",R IMP,"1,468.51",567.50,,1,"PDF page 1, property #1"
2,00575-93-06-00950,Unknown,LTS 25 & 26 LESS ST BLK-7,ABDO'S ADDN,401 S VICTOR AV E,CITY OF TULSA,,"5,600",R IMP,"4,526.88",379.50,,1,"PDF page 1, property #2"
3,00575-93-06-01170,Unknown,LTS 43 & 44 BLK 8,ABDO'S ADDN,511 S VICTOR AV E,CITY OF TULSA,,"7,000",R IMP,"3,910.27",504.50,,1,"PDF page 1, property #3"
4,00700-03-33-00090,Unknown,S30 E66.23 LT 7 BLK 1,ACME ACRE ADD,ADDRESS UNKNOWN,CITY OF TULSA,,"1,987",R,14.66,318.00,,1,"PDF page 1, property #4"
5,00725-03-33-00530,Unknown,LT 2,ACME ACRE ADDN RESUB L41-42,1326 N KNOXVILLE AV E,CITY OF TULSA,,"9,435",R IMP,"6,743.65",442.50,,1,"PDF page 1, property #5"
6,00775-02-25-00490,Unknown,W1/2 LT 13 BLK 2,ACRE GARDENS,223 E ZION ST N,CITY OF TULSA,,"8,960",R IMP,"2,546.41",348.00,,1,"PDF page 1, property #6"
7,00775-02-25-00730,Unknown,E84 LT 8 BLK 4,ACRE GARDENS,325 E YOUNG PL N,CITY OF TULSA,,"11,760",R IMP,"3,819.61",332.25,,1,"PDF page 1, property #7"
8,00775-02-25-01100,Unknown,W1/2 LT 16 BLK 8,ACRE GARDENS,303 E WOODROW ST N,CITY OF TULSA,,"8,960",R IMP,"2,716.39",536.00,,2,"PDF page 2, property #8"
9,00875-02-35-00590,Unknown,LT 12 BLK 2 ADAMS RESUB L5-19 B1 & L1-17 B2 CLINESS CREST,ADDN,1313 N BOSTON PL E,CITY OF TULSA,,"5,382",R HS IMP,"2,584.89",332.25,,2,"PDF page 2, property #9"
10,00900-02-35-00210,Unknown,LT 21 BLK 1 ADAMS RESUB B1 THE POUDER AND POMEROY,SECOND ADDN AMD,1141 N BOSTON PL E,CITY OF TULSA,,"6,900",R IMP,"1,197.21",332.25,,2,"PDF page 2, property #10"
11,01350-93-21-00260,Unknown,W70 E140 W165 N120 LT 23,ALBERT PIKE SUB,3404 E 33 ST S,CITY OF TULSA,,"8,400",C IMP,"11,854.56",332.25,,2,"PDF page 2, property #11"
12,01500-03-32-00010,Unknown,N25 OF W137.88 OF LT 10 BLK 1,ALEX LEWIS ADDN,ADDRESS UNKNOWN,CITY OF TULSA,,"3,447",R,43.99,270.75,,2,"PDF page 2, property #12"
13,01675-03-20-00060,Unknown,LT 7 LESS TR BEG NWC S53 SE50.16 N57 W50 TO BEG FOR HWY BLK 1,AMOS T HALL ADDN,ADDRESS UNKNOWN,CITY OF TULSA,,"4,017",R,14.66,270.75,,2,"PDF page 2, property #13"
14,01675-03-20-00080,Unknown,LT 9 LESS TR BEG NWC S62.58 NE50.21 N57.79 W50 TO BEG FOR HWY BLK 1,AMOS T HALL ADDN,ADDRESS UNKNOWN,CITY OF TULSA,,"3,758",R,14.66,318.00,,2,"PDF page 2, property #14"
15,01675-03-20-00090,Unknown,LT 10 BLK 1 LESS BEG NW COR LT 10 TH S 67.37 NELY 50.21 N 62.58 W 50 TO BEG,AMOS T HALL ADDN,ADDRESS UNKNOWN,CITY OF TULSA,,"3,567",R,14.66,302.25,,3,"PDF page 3, property #15"
16,01675-03-20-00100,Unknown,LTS 11 & 12 LESS TR BEG NWC THEREOF S77 NE100.42 N67.37 W99.99 TO BEG FOR HWY BLK 1,AMOS T HALL ADDN,ADDRESS UNKNOWN,CITY OF TULSA,,"6,135",R,58.66,302.25,,3,"PDF page 3, property #16"
17,01675-03-20-00240,Unknown,PT LT 1 BLK 2 BEG SEC TH N44.17 SW51.34 S32.5 E50 TO BEG,AMOS T HALL ADDN,ADDRESS UNKNOWN,CITY OF TULSA,,"1,917",R,14.66,318.00,,3,"PDF page 3, property #17"
18,01675-03-20-00720,Unknown,LT 10 BLK 4,AMOS T HALL ADDN,ADDRESS UNKNOWN,CITY OF TULSA,,"6,750",R,58.66,443.00,,3,"PDF page 3, property #18"
19,01775-03-29-01680,Unknown,LT 9 BLK 2,ANELEN HGTS THIRD ADDN,1512 N COLUMBIA PL E,CITY OF TULSA,,"7,695",R HS IMP,"2,811.20",332.25,,3,"PDF page 3, property #19"
20,01800-03-35-01450,Unknown,LT 5 BLK 5,ANNAHLEE HGTS,7569 E OKLAHOMA PL N,CITY OF TULSA,,"7,200",R HS IMP,"3,546.22",316.50,,3,"PDF page 3, property #20"
21,01875-03-19-00200,Unknown,LT 10 BLK 2,APACHE PLACE ADDN,2612 N TRENTON AV E,CITY OF TULSA,,"7,000",R IMP,962.57,332.25,,3,"PDF page 3, property #21"
22,01900-03-19-00560,Unknown,LT 10 BLK 1,APACHE PLACE SECOND ADDN,2711 N TRENTON AV E,CITY OF TULSA,,"7,000",R HS IMP,"2,263.03",363.75,,4,"PDF page 4, property #22"
23,01900-03-19-00570,Unknown,LT 11 BLK 1,APACHE PLACE SECOND ADDN,2707 N TRENTON AV E,CITY OF TULSA,,"7,000",R,249.30,302.25,,4,"PDF page 4, property #23"
24,01900-03-19-01190,Unknown,S 25 LT 14 BLK 5,APACHE PLACE SECOND ADDN,ADDRESS UNKNOWN,CITY OF TULSA,,"3,500",R,14.66,286.50,,4,"PDF page 4, property #24"
25,02000-02-23-00060,Unknown,LT 4 BLK 2,ARCHER HGTS AMD,108 E 27 ST N,CITY OF TULSA,,"7,700",R IMP,"1,689.16",426.75,,4,"PDF page 4, property #25"
26,02000-02-23-00290,Unknown,LT 19 BLK 3,ARCHER HGTS AMD,ADDRESS UNKNOWN,CITY OF TULSA,,"6,750",R,36.66,270.75,,4,"PDF page 4, property #26"
27,02050-93-29-00080,Unknown,W/2 LT 3 LESS BEG NWC E152.5 S113 NW84.43 SW72.56 N100 POB,ARNALL HGTS,4647 S ATLANTA AV E,CITY OF TULSA,,"31,500",R HS IMP,"38,399.79",348.00,,4,"PDF page 4, property #27"
28,02275-03-31-00390,Unknown,LT 9 BLK 5,AUTO HGTS ADDN,911 N VICTOR AV E,CITY OF TULSA,,"7,000",R IMP,859.24,348.00,,4,"PDF page 4, property #28"
29,02350-03-35-02480,Unknown,E80 OF S140 LT 3 BLK 1 LESS E5 & S5 FOR ST,AVIATION VIEW SUB,6521 E LATIMER PL N,CITY OF TULSA,,"10,125",R HS IMP,"3,996.66",363.75,,5,"PDF page 5, property #29"
30,02400-03-32-00700,Unknown,E9.9 OF LTS 3 & 4 & ALL LTS 5 & 6 BLK 1 SUB OF N193.6 OF BLK 1 CHEROKEE HGTS 2ND,BAILES SUB PRT B1 CHEROKEE HGTS SECOND ADDN,516 N BIRMINGHAM AV E,CITY OF TULSA,,"15,000",R IMP,"4,376.22",332.25,,5,"PDF page 5, property #30"
31,02450-03-31-01980,Unknown,LTS 35 & 36 BLK 5,BAIRD ADDN AMD,E HASKELL ST N,CITY OF TULSA,,"5,953",C,329.96,302.25,,5,"PDF page 5, property #31"
32,02475-03-32-00810,Unknown,LT 9,BAKERS ADDN,839 N GARY AV E,CITY OF TULSA,,"7,400",R IMP,"2,122.45",332.25,,5,"PDF page 5, property #32"
33,02575-02-24-00510,Unknown,LT 6  BLK 1,BANFIELD ADDN,1027 E APACHE ST N,CITY OF TULSA,,"7,500",R IMP,"2,457.75",458.25,,5,"PDF page 5, property #33"
34,02850-02-25-01370,Unknown,LT 1 BEARDEN'S SUB RESUB L1-2 & 39-40 B7,MEADOWBROOK SECOND ADDN,346 E XYLER ST N,CITY OF TULSA,,"5,880",R IMP,"1,949.80",363.75,,5,"PDF page 5, property #34"
35,03125-93-30-03560,Unknown,LT 9 BLK 11,BELLAIRE ACRES SECOND EXT,1411 E 50 ST S,CITY OF TULSA,,"7,200",R HS IMP,"9,854.06",316.50,,5,"PDF page 5, property #35"
36,03150-93-16-00530,Unknown,LT 5 BLK 4,BELLAIRE HGTS ADDN,3532 E 29 ST S,CITY OF TULSA,,"6,750",R IMP,"11,760.54",363.75,,6,"PDF page 6, property #36"
37,03175-03-32-01540,Unknown,LT 19 BLK 3,BELLEVUE HGTS,1331 N LEWIS AV E,CITY OF TULSA,,"6,563",C IMP,799.25,332.25,,6,"PDF page 6, property #37"
38,03312-03-20-02010,Unknown,LT 7 -LESS BEG SECR LT 7 TH W 25 NE 52.82 S 46.67 TO BEG  BLK 2,THE BEN C FRANKLIN ADDN,ADDRESS UNKNOWN,CITY OF TULSA,,"6,462",R,58.66,286.50,,6,"PDF page 6, property #38"
39,03312-03-20-03130,Unknown,LT 5 -LESS BEG NEC TH S 65.94 SWLY 82.60 N 131.88 E 50 P.O.B.  BLK 7,THE BEN C FRANKLIN ADDN,ADDRESS UNKNOWN,CITY OF TULSA,,"2,055",R,14.66,302.25,,6,"PDF page 6, property #39"
40,03312-03-20-03180,Unknown,PT LT 10 BEG NWC LT 10 TH E 50 SW 67.23 N 45.16 TO BEG  BLK 7,THE BEN C FRANKLIN ADDN,ADDRESS UNKNOWN,CITY OF TULSA,,"1,129",R,14.66,302.25,,6,"PDF page 6, property #40"
41,03312-03-20-03190,Unknown,LT 11 LESS BEG SE COR LT 11 TH W 50 N 49.68 NE 67.23 S 94.84 POB BLK 7,THE BEN C FRANKLIN ADDN,ADDRESS UNKNOWN,CITY OF TULSA,,"3,387",R,14.66,286.50,,6,"PDF page 6, property #41"
42,03312-03-20-03250,Unknown,LT 17 LESS BEG SW COR TH N ALONG W.L. 140 TO NW COR TH E ALONG N.L 50 TO NE COR TH S ALONG E.L 123.86 TH SWLY 20.23 TO PT ON S.L TH W ALONG S.L 37.76 TO BEGBLK 7,THE BEN C FRANKLIN ADDN,ADDRESS UNKNOWN,CITY OF TULSA,,99,R,14.66,270.75,,7,"PDF page 7, property #42"
43,03312-03-20-03530,Unknown,LT 1 BLK 9,THE BEN C FRANKLIN ADDN,E 27 ST N,CITY OF TULSA,,"24,626",C,454.62,333.75,,7,"PDF page 7, property #43"
44,03312-03-20-03750,Unknown,LT 10 LESS BEG NWC LT 10 TH E 50 S 70 SW85.78 N 140 POB BLK 10,THE BEN C FRANKLIN ADDN,ADDRESS UNKNOWN,CITY OF TULSA,,"1,750",R,14.66,302.25,,7,"PDF page 7, property #44"
45,03312-03-20-04220,Unknown,LTS 10 & 11 BLK 12,THE BEN C FRANKLIN ADDN,2645 N LEWIS AV E,CITY OF TULSA,,"18,571",C IMP,"6,391.36",411.00,,7,"PDF page 7, property #45"
46,03312-03-20-04240,Unknown,LT 13 BLK 12,THE BEN C FRANKLIN ADDN,2645 N LEWIS AV E,CITY OF TULSA,,"9,190",C,674.59,381.00,,7,"PDF page 7, property #46"
47,03350-03-31-03220,Unknown,LT 1 BLK 5,BERRY-HART ADDN,1950 E MARSHALL ST N,CITY OF TULSA,,"6,300",R,95.32,286.50,,7,"PDF page 7, property #47"
48,03350-03-31-03600,Unknown,"LT-1-BLK-7 BERRY-HART ADDN 1140 N WHEELING AV E CITY OF TULSA 7,000 R STRUCTURE REMOVED 1,313.58 316.50 49 03350-03-31-03649 LT 6 BLK 7",BERRY-HART ADDN,1738 E LATIMER CT N,CITY OF TULSA,,"5,000",R,381.29,318.00,,8,"PDF page 8, property #48"
50,03350-03-31-03650,Unknown,LT 7 BLK 7,BERRY-HART ADDN,1734 E LATIMER CT N,CITY OF TULSA,,"6,250",R,395.96,318.00,,8,"PDF page 8, property #50"
51,03400-02-25-01680,Unknown,LTS 24 & 25 BLK 7,BERRY-HART'S RESUB B7-10 ROOSEVELT ADDN,763 E PINE PL N,CITY OF TULSA,,"13,070",R,476.61,412.50,,8,"PDF page 8, property #51"
52,03600-93-09-03240,Unknown,LT 15 & PRT LT 16 BEG SWC LT 16 TH N23 E35 S23 W35 POB BLK 4,BEVERLY HILL ADDN,1140 S TOLEDO AV E,CITY OF TULSA,,"7,805",R IMP,"8,767.78",332.25,,8,"PDF page 8, property #52"
53,04025-93-15-00140,Unknown,LT 3 BLK 1,BOMAN ACRES,2640 S SHERIDAN RD E,CITY OF TULSA,,"8,040",R HS IMP,"7,339.85",332.25,,8,"PDF page 8, property #53"
54,04025-93-15-00650,Unknown,LT 3 BLK 3,BOMAN ACRES,5790 E 26 ST S,CITY OF TULSA,,"10,362",R HS IMP,"6,416.85",379.50,,8,"PDF page 8, property #54"
55,04025-93-15-04470,Unknown,LT 30 BLK 15,BOMAN ACRES,5749 E 31 ST S,CITY OF TULSA,,"7,320",R IMP,"8,359.83",379.50,,9,"PDF page 9, property #55"
56,04075-93-14-00800,Unknown,LT 23 BLK 10,BOMAN ACRES 3RD ADDN,6509 E 27 ST S,CITY OF TULSA,,"7,040",R IMP,"8,927.77",332.25,,9,"PDF page 9, property #56"
57,04125-93-14-02930,Unknown,LT 10 BLK 5 & S 30 VAC ST ON N,BOMAN ACRES 3RD ADDN AMD B5&8 & N/2 B9,6747 E 26 PL S,CITY OF TULSA,,"9,940",R IMP,"5,785.69",316.50,,9,"PDF page 9, property #57"
58,04125-93-14-02940,Unknown,LT 11 BLK 5 & S 30 VAC ST ON N,BOMAN ACRES 3RD ADDN AMD B5&8 & N/2 B9,6743 E 26 PL S,CITY OF TULSA,,"9,800",R HS IMP,"5,717.55",332.25,,9,"PDF page 9, property #58"
59,04175-93-14-07050,Unknown,LT 14 BLK 34,BOMAN ACRES FOURTH ADDN,7721 E 30 PL S,CITY OF TULSA,,"9,750",R IMP,"7,152.78",316.50,,9,"PDF page 9, property #59"
60,04350-02-25-02620,Unknown,S 90 LTS 11 & 12 BLK 4,BOOKER WASHINGTON ADDN,1537 N NORFOLK AV E,CITY OF TULSA,,"9,000",B IMP,"4,993.50",332.25,,9,"PDF page 9, property #60"
61,04350-02-25-03100,Unknown,N 33 OF W 140 LT 6 BLK 6,BOOKER WASHINGTON ADDN,ADDRESS UNKNOWN,CITY OF TULSA,,"4,620",R,109.98,302.25,,9,"PDF page 9, property #61"
62,04350-02-25-03160,Unknown,E 50 W 1/2 LT 8 BLK 6,BOOKER WASHINGTON ADDN,ADDRESS UNKNOWN,CITY OF TULSA,,"3,630",R,95.32,270.75,,10,"PDF page 10, property #62"
63,04375-92-12-00710,Unknown,"LT 19 BLK 1 BOSTON ADDN 1914 S BOSTON AV E CITY OF TULSA 7,825 C STRUCTURE REMOVED 12,157.45 363.75 64 04375-92-12-00730 LT 21 BLK 1",BOSTON ADDN,1922 S BOSTON AV E,CITY OF TULSA,,"7,920",C IMP,"11,279.53",363.75,,10,"PDF page 10, property #63"
65,04375-92-12-00740,Unknown,LT 22 BLK 1,BOSTON ADDN,S BOSTON AV E,CITY OF TULSA,,"7,920",C,"5,807.41",302.25,,10,"PDF page 10, property #65"
66,04550-03-32-02430,Unknown,LT 4 BLK 1,BOYCE SUB W/2 L16 GARDEN ACRES SUB,813 N FLORENCE AV E,CITY OF TULSA,,"5,980",R IMP,"3,368.99",332.25,,10,"PDF page 10, property #66"
67,04925-03-35-02930,Unknown,LT 4 BLK 1,BREWER ADDN,7107 E NEWTON PL N,CITY OF TULSA,,"7,840",R IMP,"3,836.94",348.00,,10,"PDF page 10, property #67"
68,05025-93-24-04640,Unknown,LT 18 BLK 15,BRIARWOOD RES A L35-36 B7 & B11-17,9129 E 38 ST S,CITY OF TULSA,,"8,625",R IMP,"10,143.65",316.50,,10,"PDF page 10, property #68"
69,05075-93-24-05930,Unknown,LT 19 BLK 1,BRIARWOOD SECOND ADDN,9449 E 39 PL S,CITY OF TULSA,,"10,586",R IMP,"11,418.53",332.25,,11,"PDF page 11, property #69"
70,05075-93-24-08770,Unknown,LT 24 BLK 13,BRIARWOOD SECOND ADDN,3612 S 94 AV E,CITY OF TULSA,,"29,999",R IMP,"4,785.98",348.00,,11,"PDF page 11, property #70"
71,05225-93-07-02750,Unknown,LTS 7 8 BLK 1,BROADMOOR HGTS SECOND ADDN,1423 S PEORIA AV,CITY OF TULSA,,"11,970",C IMP,"14,063.99",348.00,,11,"PDF page 11, property #71"
72,05375-02-25-03355,Unknown,W62 LT 10 BLK 1,BROOKDALE ADDN,ADDRESS UNKNOWN,CITY OF TULSA,,"8,680",R,124.65,286.50,,11,"PDF page 11, property #72"
73,05375-02-25-03750,Unknown,S/2 LT 80 LESS E62.9 BLK 4,BROOKDALE ADDN,ADDRESS UNKNOWN,CITY OF TULSA,,140,R,14.66,302.25,,11,"PDF page 11, property #73"
74,05375-02-25-03760,Unknown,N/2 LT 80 LESS E62.9 BLK 4,BROOKDALE ADDN,ADDRESS UNKNOWN,CITY OF TULSA,,140,R,14.66,302.25,,11,"PDF page 11, property #74"
75,05400-02-25-04330,Unknown,LT 8 BLK 3 BROOKDALE INVESTMENT CO'S RESUB PT B1-4,BROOKDALE ADD,524 E YOUNG ST N,CITY OF TULSA,,"6,720",R IMP,"1,418.58",332.25,,11,"PDF page 11, property #75"
76,05400-02-25-04370,Unknown,LT 4 LESS W11.62 THEREOF BLK 4 BROOKDALE INVESTMENT CO'S RESUB PT B1-4,BROOKDALE ADD,ADDRESS UNKNOWN,CITY OF TULSA,,"5,040",R,234.64,318.00,,12,"PDF page 12, property #76"
77,05400-02-25-04375,Unknown,W11.62 LT 4 BLK 4 BROOKDALE INVESTMENT CO'S RESUB PT B1-4,BROOKDALE ADD,ADDRESS UNKNOWN,CITY OF TULSA,,"1,627",R,14.66,302.25,,12,"PDF page 12, property #77"
78,05425-02-25-04650,Unknown,LT 1 BLK 8 BROOKDALE RESUB PRT B3-4 & ALL B8 ELGINDALE,ADDN,618 E XYLER ST N,CITY OF TULSA,,"6,720",R IMP,"1,623.72",316.50,,12,"PDF page 12, property #78"
79,05450-02-25-27030,Unknown,LT 5 BLK 4 BROOKDALE RESUB B4 & PRT B5 HOMEBUILDERS,ADDN,610 E YOUNG PL N,CITY OF TULSA,,"6,860",R IMP,"3,089.69",316.50,,12,"PDF page 12, property #79"
80,05725-02-12-03450,Unknown,LT 5 BLK 1,BUENOS VISTA SUB,1111 E 50 ST N,CITY OF TULSA,,"17,050",R,329.96,286.50,,12,"PDF page 12, property #80"
81,05825-03-30-01260,Unknown,LT 1 LESS N 5 FOR ST BLK 2,BULLETTE HGTS ADDN,2039 N QUAKER AV E,CITY OF TULSA,,"11,620",R IMP,"3,268.33",348.00,,12,"PDF page 12, property #81"
82,05850-03-30-04070,Unknown,LT 22 & S25 VAC UTE ST ON N BLK 8,BULLETTE HGTS 2ND ADDN,1844 N TRENTON AV E,CITY OF TULSA,,"10,500",R HS IMP,"1,297.53",332.25,,12,"PDF page 12, property #82"
83,05850-03-30-04100,Unknown,LT 3 BLK 9,BULLETTE HGTS 2ND ADDN,1838 N ST LOUIS AV E,CITY OF TULSA,,"7,420",R IMP,"2,328.43",363.75,,13,"PDF page 13, property #83"
84,05925-92-03-00490,Unknown,LT 6  BLK 2,BUNKER HILL ADDN,7 N VANCOUVER AV W,CITY OF TULSA,,"7,500",R IMP,"2,502.41",316.50,,13,"PDF page 13, property #84"
85,06100-02-26-00080,Unknown,S20 LT 8 & ALL LTS 9 & 10 BLK 1,BURROUGHS VIEW ADDN,1806 N BOSTON AV E,CITY OF TULSA,,"18,620",R HS IMP,"5,016.55",363.75,,13,"PDF page 13, property #85"
86,06179-03-36-06010,Unknown,LT 1 BLK 1,BUTLER PARK,1208 N MINGO RD E,CITY OF TULSA,,"37,306",C IMP,"24,820.85",363.75,,13,"PDF page 13, property #86"
87,06525-03-31-04430,Unknown,LTS 31 & 32 BLK 12,CAPITOL HILL ADDN,721 N PEORIA AV E,CITY OF TULSA,,"7,000",R IMP,498.61,379.50,,13,"PDF page 13, property #87"
88,06575-03-31-05068,Unknown,W20 N50 E160 LT 3 BLK 4,CAPITOL HILL SECOND L3 B4,ADDRESS UNKNOWN,CITY OF TULSA,,"1,000",R,14.66,286.50,,13,"PDF page 13, property #88"
89,06625-92-27-02490,Unknown,LTS 14 15 BLK 8,CARBONDALE,4648 S 31 AV W,CITY OF TULSA,,"6,750",R IMP,"4,950.17",332.25,,13,"PDF page 13, property #89"
90,06625-92-27-02680,Unknown,LTS 19 20 BLK 9,CARBONDALE,4641 S 31 AV W,CITY OF TULSA,,"6,750",R HS IMP,"2,397.22",316.50,,14,"PDF page 14, property #90"
91,06625-92-27-04570,Unknown,LT 6 BLK 17,CARBONDALE,4621 S 29 AV W,CITY OF TULSA,,"6,345",R,"1,228.54",286.50,,14,"PDF page 14, property #91"
92,06950-03-31-06470,Unknown,LT-15-BLK-2,CARPENTER'S FIRST ADDN,1711 E OKLAHOMA ST N,CITY OF TULSA,,"6,400",R,395.96,318.00,,14,"PDF page 14, property #92"
93,06950-03-31-06480,Unknown,LT-16-BLK-2,CARPENTER'S FIRST ADDN,1719 E OKLAHOMA ST N,CITY OF TULSA,,"6,375",C IMP,535.27,332.25,,14,"PDF page 14, property #93"
94,06950-03-31-06490,Unknown,LT-17-BLK-2,CARPENTER'S FIRST ADDN,1719 E OKLAHOMA ST N,CITY OF TULSA,,"6,400",C IMP,"2,450.42",348.00,,14,"PDF page 14, property #94"
95,07225-02-13-00060,Unknown,LT 5 BLK 1 CAWILL ADDN RESUB PRT B8-10 CHANDLER FRATES,5TH ADDN,3936 N LANSING PL E,CITY OF TULSA,,"14,070",R IMP,"5,434.28",395.25,,14,"PDF page 14, property #95"
96,07225-02-13-00160,Unknown,LT 8 BLK 2 CAWILL ADDN RESUB PRT B8-10 CHANDLER FRATES,5TH ADDN,ADDRESS UNKNOWN,CITY OF TULSA,,"11,340",R,359.29,270.75,,14,"PDF page 14, property #96"
97,07410-94-07-22830,Unknown,LT 16 BLK 3,CENTURY 21 EAST,10829 E 15 PL S,CITY OF TULSA,,"2,373",R IMP,"2,475.08",395.25,,15,"PDF page 15, property #97"
98,07410-94-07-23780,Unknown,LT 9 BLK 6,CENTURY 21 EAST,1525 S 112 AV E,CITY OF TULSA,,"3,967",R IMP,"4,554.87",348.00,,15,"PDF page 15, property #98"
99,07415-94-07-29470,Unknown,LT 15 BLK 4,CENTURY 21 EAST EXT RESUB PRT PHEASANT RUN,1441 S 112 AV E,CITY OF TULSA,,"3,490",R IMP,"5,517.44",316.50,,15,"PDF page 15, property #99"
100,07450-93-16-02290,Unknown,LT 26 BLK 3,CHANDLER-FRATES ADDN,4065 E 25 ST S,CITY OF TULSA,,"8,100",R IMP,"10,711.59",379.50,,15,"PDF page 15, property #100"
101,07600-02-24-00740,Unknown,LT 10 BLK 1,CHANDLER FRATES SECOND ADDN,3353 N LANSING PL E,CITY OF TULSA,,"8,520",R IMP,"3,530.98",363.75,,15,"PDF page 15, property #101"
102,07600-02-24-00790,Unknown,LT 15 BLK 1,CHANDLER FRATES SECOND ADDN,3329 N LANSING PL E,CITY OF TULSA,,"7,320",R IMP,"2,218.44",348.00,,15,"PDF page 15, property #102"
103,07600-02-24-01200,Unknown,LTS 1 & 2 BLK 3,CHANDLER FRATES SECOND ADDN,820 E 36 ST N,CITY OF TULSA,,"15,600",C IMP,"3,152.35",348.00,,15,"PDF page 15, property #103"
104,07600-02-24-01240,Unknown,LT 6 BLK 3,CHANDLER FRATES SECOND ADDN,3514 N LANSING AV E,CITY OF TULSA,,"7,259",R IMP,"1,901.80",348.00,,16,"PDF page 16, property #104"
105,07600-02-24-02510,Unknown,LT 19 BLK 9,CHANDLER FRATES SECOND ADDN,723 E 33 ST N,CITY OF TULSA,,"7,200",R IMP,"2,758.39",395.25,,16,"PDF page 16, property #105"
106,07675-02-13-01140,Unknown,LT 1 BLK 5,CHANDLER FRATES FOURTH ADDN,4018 N GARRISON AV E,CITY OF TULSA,,"8,265",R HS IMP,"3,245.67",316.50,,16,"PDF page 16, property #106"
107,07675-02-13-01570,Unknown,LT 11 BLK 6,CHANDLER FRATES FOURTH ADDN,4021 N ELGIN AV E,CITY OF TULSA,,"6,530",R IMP,"3,624.97",348.00,,16,"PDF page 16, property #107"
108,07675-02-13-01590,Unknown,PT LT 12 BLK 6 BEG SWC LT 12 NE159.80 NW61.30 W136.85 S123.05 TO BEG,CHANDLER FRATES FOURTH ADDN,4013 N ELGIN AV E,CITY OF TULSA,,"14,504",R IMP,"3,368.32",316.50,,16,"PDF page 16, property #108"
109,07675-02-13-01610,Unknown,LT 14 BLK 6,CHANDLER FRATES FOURTH ADDN,421 E 40 ST N,CITY OF TULSA,,"7,749",R IMP,"3,505.64",316.50,,16,"PDF page 16, property #109"
110,07700-02-13-02200,Unknown,LT 10,CHANDLER-FRATES 4TH ADDN RESUB L1-20 B7,4026 N ELGIN AV E,CITY OF TULSA,,"8,700",R IMP,"5,279.47",363.75,,16,"PDF page 16, property #110"
111,07725-02-13-02870,Unknown,LT 34 BLK 10,CHANDLER-FRATES FIFTH ADDN,3917 N LANSING AV E,CITY OF TULSA,,"8,990",R IMP,"4,067.59",316.50,,17,"PDF page 17, property #111"
112,07725-02-13-02930,Unknown,LT 4 BLK 11,CHANDLER-FRATES FIFTH ADDN,918 E 37 ST N,CITY OF TULSA,,"10,707",R HS IMP,"3,234.47",363.75,,17,"PDF page 17, property #112"
113,07725-02-13-03030,Unknown,LT 3 BLK 12,CHANDLER-FRATES FIFTH ADDN,758 E 39 ST N,CITY OF TULSA,,"7,440",R IMP,"2,963.31",332.25,,17,"PDF page 17, property #113"
114,07725-02-13-03090,Unknown,LT 9 BLK 12,CHANDLER-FRATES FIFTH ADDN,730 E 39 ST N,CITY OF TULSA,,"7,440",R IMP,"2,588.38",363.75,,17,"PDF page 17, property #114"
115,07900-94-18-00140,Unknown,LT 14 BLK 1,CHARYL LYNN ACRES,2117 S 102 AV E,CITY OF TULSA,,"8,646",R IMP,"7,964.53",316.50,,17,"PDF page 17, property #115"
116,08050-03-31-07630,Unknown,LT 12 BLK 11,CHEROKEE HGTS ADDN,715 N XANTHUS AV E,CITY OF TULSA,,"9,500",R,476.61,318.00,,17,"PDF page 17, property #116"
117,08050-03-31-08790,Unknown,LT 4 BLK 18,CHEROKEE HGTS ADDN,114 N YORKTOWN AV E,CITY OF TULSA,,"7,500",R HS IMP,"2,978.35",442.50,,17,"PDF page 17, property #117"
118,08150-94-08-00330,Unknown,LT 2 BLK 2,CHEROKEE VILLAGE,11524 E 15 ST S,CITY OF TULSA,,"12,688",R IMP,"6,800.65",348.00,,18,"PDF page 18, property #118"
119,08300-93-04-02320,Unknown,LT 18 BLK 2,CHULA VISTA FIRST ADDN,3311 E 5 PL S,CITY OF TULSA,,"8,456",R IMP,"6,169.38",332.25,,18,"PDF page 18, property #119"
120,08375-03-29-01830,Unknown,LT 3 LESS E. 25' & LESS W.5' BLK 1,CITY VIEW ADDN,2257 N EVANSTON PL E,CITY OF TULSA,,"33,920",R,718.59,365.25,,18,"PDF page 18, property #120"
121,08375-03-29-02800,Unknown,S50 N106 W1/2 OF LT 1 BLK 10,CITY VIEW ADDN,2141 N DELAWARE AV E,CITY OF TULSA,,"7,400",R HS IMP,"5,074.15",426.75,,18,"PDF page 18, property #121"
122,08425-03-29-03180,Unknown,LT 11 BLK 1,CITY VIEW ADDN RESUB L1-2 & E/2 L3-4 B11,2204 N EVANSTON AV E,CITY OF TULSA,,"7,293",R IMP,"1,941.05",348.00,,18,"PDF page 18, property #122"
123,08450-03-29-03260,Unknown,LT 4 BLK 1,CITY VIEW ADDN RESUB B12,2901 E WOODROW ST N,CITY OF TULSA,,"6,384",R IMP,"3,456.98",411.00,,18,"PDF page 18, property #123"
