parcel_id,owner_name,property_address,city,state,zip_code,bid_cost,legal_description,property_type,source_page,raw_text,extraction_confidence,previous_rule_based_score,previous_ai_score,previous_final_score,previous_category,previous_recommendation,previous_reasoning_summary,previous_key_risks,latitude,longitude,geocode_status,geocode_confidence,geocode_source,geocode_display_name,census_tract,block_group,confirmed_zip_code,neighborhood_or_area,median_household_income,poverty_rate,unemployment_rate,median_home_value,median_gross_rent,vacancy_rate,owner_occupied_rate,population_estimate,economic_data_year,economic_source,economic_confidence,economic_strength_score,economic_risk_level,crime_source,crime_data_date_range,crime_incident_count_0_5mi,violent_crime_count_0_5mi,property_crime_count_0_5mi,burglary_count_0_5mi,theft_count_0_5mi,assault_count_0_5mi,crime_risk_score,crime_risk_level,crime_confidence,crime_notes,property_clarity_score,geocoding_score,residential_likelihood_score,crime_score,bid_price_score,data_confidence_score,area_intelligence_score,pre_ai_final_score,pre_ai_category,area_ranking_reason,area_key_risks,data_confidence
01875-03-19-00200,Unknown,2612 N TRENTON AV E,Tulsa,OK,Unknown,962.57,LT 10 BLK 2,R IMP,3,"21 01875-03-19-00200 2612 N TRENTON AV E 7,000 R IMP 962.57 332.25 | LT 10 BLK 2 CITY OF TULSA | APACHE PLACE ADDN",High,Unknown.,Unknown.,Unknown.,Unknown.,Unknown.,Unknown.,Unknown.,36.1917798,-95.969964,Geocoded,High,Census Geocoder,"2612 N TRENTON AVE, TULSA, OK, 74106",40143000200,401430002001,74106,Tulsa Census Tract 200,44485.0,0.1962,0.1729,121800.0,1054.0,0.1585,0.7373,1534.0,2020-2024,ACS 2024 5-year via Census Reporter API (Tract-level),High,6.33,Medium,NeighborhoodScout city-level crime page (low-confidence proxy),2021 city-level page,Unknown.,Unknown.,Unknown.,Unknown.,Unknown.,Unknown.,1.7,High,Low,"City-level proxy for Tulsa, not parcel-specific and not a 0.5-mile incident count. Official Tulsa parcel-level incident counts were not reliably queryable from the available public endpoints during this pipeline run. NeighborhoodScout reported violent-crime victimization odds of about 1 in 107. Property-crime victimization odds were about 1 in 22. The city page said Tulsa is safer than 2% of U.S. cities. City-level overall crime rate text reported 45.0 per 1,000 residents.",10.0,9.0,8.5,1.75,8.12,7.62,4.04,7.03,Manual Review Candidate,"Parcel 01875-03-19-00200 at bid cost 962.57 scored 7.03 before AI because property clarity=10.0, geocoding=9.0, residential likelihood=8.5, crime score=1.75 (High risk, Low confidence), economic strength=6.33 (Medium risk, High confidence), and data confidence=7.62.",Area-level crime proxy is high risk. Crime context is low-confidence and city-level only.,High
44675-92-08-04460,Unknown,5134 W CHARLES PAGE,Unknown,OK,Unknown,907.78,E46.5 LT 6 BLK 2 BV S,R IMP,130,"885 44675-92-08-04460 5134 W CHARLES PAGE 9,400 R IMP 907.78 379.50 | E46.5 LT 6 BLK 2 BV S | VERN SUB AMD CITY OF TULSA",High,Unknown.,Unknown.,Unknown.,Unknown.,Unknown.,Unknown.,Unknown.,36.147961,-96.0500415,Geocoded,Medium,Census Geocoder,"5134 CHARLES PAGE BLVD, TULSA, OK, 74127",40143008800,401430088002,74127,Tulsa Census Tract 8800,44231.0,0.359,0.136,71700.0,826.0,0.1751,0.4904,2288.0,2020-2024,ACS 2024 5-year via Census Reporter API (Tract-level),High,4.92,High,NeighborhoodScout city-level crime page (low-confidence proxy),2021 city-level page,Unknown.,Unknown.,Unknown.,Unknown.,Unknown.,Unknown.,1.7,High,Low,"City-level proxy for Tulsa, not parcel-specific and not a 0.5-mile incident count. Official Tulsa parcel-level incident counts were not reliably queryable from the available public endpoints during this pipeline run. NeighborhoodScout reported violent-crime victimization odds of about 1 in 107. Property-crime victimization odds were about 1 in 22. The city page said Tulsa is safer than 2% of U.S. cities. City-level overall crime rate text reported 45.0 per 1,000 residents.",10.0,6.5,8.5,1.75,9.77,7.0,3.34,6.42,Manual Review Candidate,"Parcel 44675-92-08-04460 at bid cost 907.78 scored 6.42 before AI because property clarity=10.0, geocoding=6.5, residential likelihood=8.5, crime score=1.75 (High risk, Low confidence), economic strength=4.92 (High risk, High confidence), and data confidence=7.0.",Area-level crime proxy is high risk. Economic context is weak. Crime context is low-confidence and city-level only.,Medium
62800-91-11-13540,Unknown,201 N FRANKLIN AV W,Sand Springs,OK,Unknown,977.38,W75 LTS 15 & 16 & ALL LTS 17 & 18 BLK 5,C,163,"1114 62800-91-11-13540 201 N FRANKLIN AV W 11,750 C 977.38 286.50 | W75 LTS 15 & 16 & ALL LTS 17 & 18 BLK 5 CITY OF SAND SPRINGS | SUNRISE ADDN",High,Unknown.,Unknown.,Unknown.,Unknown.,Unknown.,Unknown.,Unknown.,36.1384176,-96.1175913,Geocoded,High,Census Geocoder,"201 N FRANKLIN AVE, SAND SPRINGS, OK, 74063",40143009300,401430093003,74063,Sand Springs Census Tract 9300,51570.0,0.149,0.0689,96800.0,856.0,0.1254,0.6433,3474.0,2020-2024,ACS 2024 5-year via Census Reporter API (Tract-level),High,6.75,Medium,NeighborhoodScout city-level crime page (low-confidence proxy),2021 city-level page,Unknown.,Unknown.,Unknown.,Unknown.,Unknown.,Unknown.,2.3,High,Low,"City-level proxy for Sand Springs, not parcel-specific and not a 0.5-mile incident count. Official Tulsa parcel-level incident counts were not reliably queryable from the available public endpoints during this pipeline run. NeighborhoodScout reported violent-crime victimization odds of about 1 in 37. Property-crime victimization odds were about 1 in 34. The city page said Sand Springs is safer than 8% of U.S. cities. City-level overall crime rate text reported 30.0 per 1,000 residents.",10.0,9.0,3.0,1.75,7.68,7.62,4.25,6.26,Manual Review Candidate,"Parcel 62800-91-11-13540 at bid cost 977.38 scored 6.26 before AI because property clarity=10.0, geocoding=9.0, residential likelihood=3.0, crime score=1.75 (High risk, Low confidence), economic strength=6.75 (Medium risk, High confidence), and data confidence=7.62.",Area-level crime proxy is high risk. Crime context is low-confidence and city-level only. Property type appears commercial or unclear for a residential auction screen.,High
24275-93-06-15050,Unknown,1411 E ADMIRAL BV N,Tulsa,OK,Unknown,953.23,LT 14 BLK 6,C,54,"368 24275-93-06-15050 1411 E ADMIRAL BV N 6,500 C 953.23 286.50 | LT 14 BLK 6 CITY OF TULSA | LYNCH & FORSYTHE'S ADDN",High,Unknown.,Unknown.,Unknown.,Unknown.,Unknown.,Unknown.,Unknown.,36.1597199,-95.9733766,Geocoded,High,Census Geocoder,"1411 E ADMIRAL BLVD, TULSA, OK, 74120",40143001200,401430012001,74120,Tulsa Census Tract 1200,60379.0,0.176,0.0633,86400.0,964.0,0.2185,0.5092,1528.0,2020-2024,ACS 2024 5-year via Census Reporter API (Tract-level),High,6.5,Medium,NeighborhoodScout city-level crime page (low-confidence proxy),2021 city-level page,Unknown.,Unknown.,Unknown.,Unknown.,Unknown.,Unknown.,1.7,High,Low,"City-level proxy for Tulsa, not parcel-specific and not a 0.5-mile incident count. Official Tulsa parcel-level incident counts were not reliably queryable from the available public endpoints during this pipeline run. NeighborhoodScout reported violent-crime victimization odds of about 1 in 107. Property-crime victimization odds were about 1 in 22. The city page said Tulsa is safer than 2% of U.S. cities. City-level overall crime rate text reported 45.0 per 1,000 residents.",10.0,9.0,3.0,1.75,8.4,7.62,4.12,6.25,Manual Review Candidate,"Parcel 24275-93-06-15050 at bid cost 953.23 scored 6.25 before AI because property clarity=10.0, geocoding=9.0, residential likelihood=3.0, crime score=1.75 (High risk, Low confidence), economic strength=6.5 (Medium risk, High confidence), and data confidence=7.62.",Area-level crime proxy is high risk. Crime context is low-confidence and city-level only. Property type appears commercial or unclear for a residential auction screen.,High
24275-93-06-15090,Unknown,1427 E ADMIRAL BV N,Tulsa,OK,Unknown,953.23,LT 18 BLK 6,C,54,"370 24275-93-06-15090 1427 E ADMIRAL BV N 6,500 C 953.23 286.50 | LT 18 BLK 6 CITY OF TULSA | LYNCH & FORSYTHE'S ADDN",High,Unknown.,Unknown.,Unknown.,Unknown.,Unknown.,Unknown.,Unknown.,36.1597199,-95.9730559,Geocoded,High,Census Geocoder,"1427 E ADMIRAL BLVD, TULSA, OK, 74120",40143001200,401430012001,74120,Tulsa Census Tract 1200,60379.0,0.176,0.0633,86400.0,964.0,0.2185,0.5092,1528.0,2020-2024,ACS 2024 5-year via Census Reporter API (Tract-level),High,6.5,Medium,NeighborhoodScout city-level crime page (low-confidence proxy),2021 city-level page,Unknown.,Unknown.,Unknown.,Unknown.,Unknown.,Unknown.,1.7,High,Low,"City-level proxy for Tulsa, not parcel-specific and not a 0.5-mile incident count. Official Tulsa parcel-level incident counts were not reliably queryable from the available public endpoints during this pipeline run. NeighborhoodScout reported violent-crime victimization odds of about 1 in 107. Property-crime victimization odds were about 1 in 22. The city page said Tulsa is safer than 2% of U.S. cities. City-level overall crime rate text reported 45.0 per 1,000 residents.",10.0,9.0,3.0,1.75,8.4,7.62,4.12,6.25,Manual Review Candidate,"Parcel 24275-93-06-15090 at bid cost 953.23 scored 6.25 before AI because property clarity=10.0, geocoding=9.0, residential likelihood=3.0, crime score=1.75 (High risk, Low confidence), economic strength=6.5 (Medium risk, High confidence), and data confidence=7.62.",Area-level crime proxy is high risk. Crime context is low-confidence and city-level only. Property type appears commercial or unclear for a residential auction screen.,High
58125-73-36-00540,Unknown,17464 S 89 AV E,City Of Bixby,OK,Unknown,925.84,LT 19 BLK 3,R,157,"1072 58125-73-36-00540 17464 S 89 AV E 14,000 R 925.84 302.25 | LT 19 BLK 3 CITY OF BIXBY | SOUTHTOWN ESTATES",High,Unknown.,Unknown.,Unknown.,Unknown.,Unknown.,Unknown.,Unknown.,Unknown.,Unknown.,Failed,Low,Unknown.,Unknown.,Unknown.,Unknown.,Unknown,Unknown.,Unknown.,Unknown.,Unknown.,Unknown.,Unknown.,Unknown.,Unknown.,Unknown.,Unknown.,Unknown.,Unknown,Unknown.,Unknown,NeighborhoodScout city-level crime page (low-confidence proxy),2021 city-level page,Unknown.,Unknown.,Unknown.,Unknown.,Unknown.,Unknown.,6.1,Medium,Low,"City-level proxy for Bixby, not parcel-specific and not a 0.5-mile incident count. Official Tulsa parcel-level incident counts were not reliably queryable from the available public endpoints during this pipeline run. NeighborhoodScout reported violent-crime victimization odds of about 1 in 635. The city page said Bixby is safer than 46% of U.S. cities.",10.0,1.5,6.5,5.25,9.22,4.62,4.38,5.64,Risky / Needs Verification,"Parcel 58125-73-36-00540 at bid cost 925.84 scored 5.64 before AI because property clarity=10.0, geocoding=1.5, residential likelihood=6.5, crime score=5.25 (Medium risk, Low confidence), economic strength=3.5 (Unknown risk, Unknown confidence), and data confidence=4.62.",Geocoding confidence is weak. Crime context is low-confidence and city-level only. Economic coverage is weak or incomplete.,Low
55300-91-03-01060,Unknown,911 W 10 ST N,Unknown,OK,Unknown,934.57,LT 12 BLK 27 TULSA COUNTY,R,150,"1025 55300-91-03-01060 911 W 10 ST N 41,800 R 934.57 333.75 | LT 12 BLK 27 TULSA COUNTY | CHARLES PAGE HOME ACRES NO 4",High,Unknown.,Unknown.,Unknown.,Unknown.,Unknown.,Unknown.,Unknown.,Unknown.,Unknown.,Failed,Low,Unknown.,Unknown.,Unknown.,Unknown.,Unknown,Unknown.,Unknown.,Unknown.,Unknown.,Unknown.,Unknown.,Unknown.,Unknown.,Unknown.,Unknown.,Unknown.,Unknown,Unknown.,Unknown,Unknown.,Unknown.,Unknown.,Unknown.,Unknown.,Unknown.,Unknown.,Unknown.,Unknown.,Unknown,Unknown,No usable official or area-level crime source was attached for this row. Treat crime risk as unknown and do not assume the area is safe.,10.0,1.5,6.5,3.0,8.96,4.38,3.25,5.17,Risky / Needs Verification,"Parcel 55300-91-03-01060 at bid cost 934.57 scored 5.17 before AI because property clarity=10.0, geocoding=1.5, residential likelihood=6.5, crime score=3.0 (Unknown risk, Unknown confidence), economic strength=3.5 (Unknown risk, Unknown confidence), and data confidence=4.38.",Geocoding confidence is weak. Economic coverage is weak or incomplete.,Low
23175-03-30-13010,Unknown,2545 N ROCKFORD AV E,Tulsa,OK,Unknown,986.56,LT 1 BLK 1,C IMP,50,"338 23175-03-30-13010 2545 N ROCKFORD AV E 9,500 C IMP 986.56 363.75 | LT 1 BLK 1 CITY OF TULSA | LINCOLN HGTS",High,Unknown.,Unknown.,Unknown.,Unknown.,Unknown.,Unknown.,Unknown.,36.1905131,-95.9720863,Geocoded,High,Census Geocoder,"2545 N ROCKFORD AVE, TULSA, OK, 74106",40143000500,401430005001,74106,Tulsa Census Tract 500,32356.0,0.3922,0.2206,68600.0,745.0,0.1871,0.376,2226.0,2020-2024,ACS 2024 5-year via Census Reporter API (Tract-level),High,3.42,High,NeighborhoodScout city-level crime page (low-confidence proxy),2021 city-level page,Unknown.,Unknown.,Unknown.,Unknown.,Unknown.,Unknown.,1.7,High,Low,"City-level proxy for Tulsa, not parcel-specific and not a 0.5-mile incident count. Official Tulsa parcel-level incident counts were not reliably queryable from the available public endpoints during this pipeline run. NeighborhoodScout reported violent-crime victimization odds of about 1 in 107. Property-crime victimization odds were about 1 in 22. The city page said Tulsa is safer than 2% of U.S. cities. City-level overall crime rate text reported 45.0 per 1,000 residents.",10.0,9.0,3.0,1.75,7.4,7.62,2.58,5.58,Avoid,"Parcel 23175-03-30-13010 at bid cost 986.56 scored 5.58 before AI because property clarity=10.0, geocoding=9.0, residential likelihood=3.0, crime score=1.75 (High risk, Low confidence), economic strength=3.42 (High risk, High confidence), and data confidence=7.62.",Area-level crime proxy is high risk. Economic context is weak. Crime context is low-confidence and city-level only. Property type appears commercial or unclear for a residential auction screen.,High
54900-90-10-01020,Unknown,ADDRESS UNKNOWN,Unknown,OK,Unknown,974.56,LT 8 BLK 1 TULSA COUNTY,R,148,"1012 54900-90-10-01020 ADDRESS UNKNOWN 23,718 R 974.56 286.50 | LT 8 BLK 1 TULSA COUNTY | CANDLESTICK BEACH SECOND ADDN",Medium,Unknown.,Unknown.,Unknown.,Unknown.,Unknown.,Unknown.,Unknown.,Unknown.,Unknown.,Failed,Low,Unknown.,Unknown.,Unknown.,Unknown.,Unknown,Unknown.,Unknown.,Unknown.,Unknown.,Unknown.,Unknown.,Unknown.,Unknown.,Unknown.,Unknown.,Unknown.,Unknown,Unknown.,Unknown,Unknown.,Unknown.,Unknown.,Unknown.,Unknown.,Unknown.,Unknown.,Unknown.,Unknown.,Unknown,Unknown,No usable official or area-level crime source was attached for this row. Treat crime risk as unknown and do not assume the area is safe.,8.0,1.5,6.5,3.0,7.76,3.75,3.25,4.68,Avoid,"Parcel 54900-90-10-01020 at bid cost 974.56 scored 4.68 before AI because property clarity=8.0, geocoding=1.5, residential likelihood=6.5, crime score=3.0 (Unknown risk, Unknown confidence), economic strength=3.5 (Unknown risk, Unknown confidence), and data confidence=3.75.",Address is missing or unclear. Geocoding confidence is weak. Economic coverage is weak or incomplete.,Low
